Province,Province Name En,Province Name Ne,District Id,District Code,District Name En,District Name Ne,GAPA Id,GAPA Code,GaPa Name En,GaPa Name Ne,Total Wards
1,Province No. 1,प्रदेश १,6,106,Bhojpur,भोजपुर,9,10609,Aamchowk Gaunpalika,आमचोक गाउँपालिका,10
1,Province No. 1,प्रदेश १,7,107,Dhankuta,धनकुटा,1,10701,Mahalaxmi Municipality,महालक्ष्मी नगरपालिका,9
1,Province No. 1,प्रदेश १,7,107,Dhankuta,धनकुटा,2,10702,Pakhribas Municipality,पाख्रिबास नगरपालिका,10
1,Province No. 1,प्रदेश १,7,107,Dhankuta,धनकुटा,3,10703,Chhathar Jorpati Gaunpalika,छथर जोरपाटी गाउँपालिका,6
1,Province No. 1,प्रदेश १,7,107,Dhankuta,धनकुटा,4,10704,Dhankuta Municipality,धनकुटा नगरपालिका,10
1,Province No. 1,प्रदेश १,7,107,Dhankuta,धनकुटा,5,10705,Shahidbhumi Gaunpalika,सहिदभूमि गाउँपालिका,7
1,Province No. 1,प्रदेश १,7,107,Dhankuta,धनकुटा,6,10706,Sangurigadhi Gaunpalika,साँगुरीगढी गाउँपालिका,10
1,Province No. 1,प्रदेश १,7,107,Dhankuta,धनकुटा,7,10707,Chaubise Gaunpalika,चौविसे गाउँपालिका,8
1,Province No. 1,प्रदेश १,8,108,Terhathum,तेह्रथुम,1,10801,Aatharai Gaunpalika,आठराई गाउँपालिका,7
1,Province No. 1,प्रदेश १,8,108,Terhathum,तेह्रथुम,2,10802,Phedap Gaunpalika,फेदाप गाउँपालिका,5
1,Province No. 1,प्रदेश १,8,108,Terhathum,तेह्रथुम,3,10803,Menchhayayem Gaunpalika,मेन्छयायेम गाउँपालिका,6
1,Province No. 1,प्रदेश १,8,108,Terhathum,तेह्रथुम,4,10804,Myanglung Municipality,म्याङ्गलुङ्ग नगरपालिका,10
1,Province No. 1,प्रदेश १,8,108,Terhathum,तेह्रथुम,5,10805,Laligurans Municipality,लालीगुराँस नगरपालिका,9
1,Province No. 1,प्रदेश १,8,108,Terhathum,तेह्रथुम,6,10806,Chhathar Gaunpalika,छथर गाउँपालिका,6
1,Province No. 1,प्रदेश १,9,109,Panchthar,पाँचथर,1,10901,Yangbarak Gaunpalika,याङवरक गाउँपालिका,6
